PUESTO_TRABAJO,AREA,FECHA_INGRESO_PLANILLA,MOTIVO_SEPARACION,FECHA_CESE,SITUACION,COD_SEXO,ESTADO_CIVIL,FECHA_NACIMIENTO,SEGMENTO SIMPLE,TIPO_CASA,TIPO_INSTRUCCION,DISTRITO,PROVINCIA,DEPARTAMENTO,NÚMERO DE HIJOS
INSTRUCTOR DE DEPORTE,MINSUR SAN RAFAEL NUEVO - HOTELERIA,44081,RENUNCIA VOLUNTARIA,45383,CESADO,M,SOLTERO(A),26571,E&R,NO APLICABLE,UNIVERS. COMPLETA,YANAHUARA,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
ALMACENERO,HUDBAY - MANTENIMIENTO,45140,TERMINO DE CONTRATO,45476,CESADO,M,SOLTERO(A),35838,E&R,PROPIA,SECUNDARIA COMPLETA,YANAHUARA,AREQUIPA,DPTO AREQUIPA,2
AUXILIAR DE HOTELERIA,HIDROELECTRICA HUANZA - HOTELERIA,43709,RENUNCIA VOLUNTARIA,44074,CESADO,F,SOLTERO(A),34690,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE LOGISTICA,PLUSPETROL L 88 - LOGISTICA,44211,RENUNCIA VOLUNTARIA,44409,CESADO,M,SOLTERO(A),31727,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
TECNICO DE MANTENIMIENTO - ELECTRICISTA,TUNSHURUCO - MANTENIMIENTO,44612,RENUNCIA VOLUNTARIA,45111,CESADO,M,SOLTERO(A),33650,E&R,PROPIA,TÉCNICA COMPLETA,SAN AGUSTIN,HUANCAYO,DPTO JUNIN,SIN INFORMACION
AUXILIAR GENERAL,SAXON MALVINAS - SATELITES,43516,TERMINO DE CONTRATO,43983,CESADO,M,SOLTERO(A),32692,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
AUXILIAR DE LIMPIEZA,GLENCORE - LIMPIEZA,44024,RENUNCIA VOLUNTARIA,44775,CESADO,M,SOLTERO(A),24638,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,PARAMONGA,BARRANCA,DPTO LIMA,SIN INFORMACION
COCINERO,QUELLAVECO - ALIMENTACION,43979,RENUNCIA VOLUNTARIA,45413,CESADO,M,SOLTERO(A),33692,E&R,NO APLICABLE,TÉCNICA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
SUPERVISOR DE COMEDOR,HUDBAY - ALIMENTACION,45148,RENUNCIA VOLUNTARIA,45294,CESADO,M,SOLTERO(A),33692,E&R,NO APLICABLE,SECUNDARIA COMPLETA,CERRO COLORADO,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
SUPERVISOR DE CALIDAD,QUELLAVECO - ALIMENTACION,44154,RENUNCIA VOLUNTARIA,44455,CESADO,F,SOLTERO(A),28033,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
MOZO,PAN AMERICAN SILVER - ARGENTUM GOLF,44208,TERMINO DE CONTRATO,44621,CESADO,M,SOLTERO(A),36149,E&R,NO APLICABLE,SECUNDARIA COMPLETA,TRUJILLO,TRUJILLO,DPTO LA LIBERTAD,0
MOZO,PAN AMERICAN SILVER - ARGENTUM GOLF,44406,RENUNCIA VOLUNTARIA,44575,CESADO,M,SOLTERO(A),35039,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
MOZO,TAMBOMAYO - ALIMENTACION,44540,RENUNCIA VOLUNTARIA,44609,CESADO,M,SOLTERO(A),37793,E&R,PROPIA,SECUNDARIA COMPLETA,SABANDIA,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
MOZO,PAN AMERICAN SILVER HUARON - ALIMENTACION,44399,RENUNCIA VOLUNTARIA,44866,CESADO,M,SOLTERO(A),35409,E&R,NO APLICABLE,UNIVERS. COMPLETA,LIMA,LIMA,DPTO LIMA,0
MOZO,HOCHSCHILD - ARCATA,44155,TERMINO DE CONTRATO,44440,CESADO,F,SOLTERO(A),32368,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR GENERAL,VOTORANTIM METAIS - ALIMENTACION,43732,TERMINO DE CONTRATO,44228,CESADO,M,SOLTERO(A),36172,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
AUXILIAR DE LIMPIEZA,PAN AMERICAN SILVER HUARON - ALIMENTACION,44217,TERMINO DE CONTRATO,44440,CESADO,F,SOLTERO(A),34016,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,MARSA - HOTELERIA,44470,RENUNCIA VOLUNTARIA,44593,CESADO,M,CONVIVIENTE,36583,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AYUDANTE DE COCINA,QUELLAVECO - ALIMENTACION,44147,PERIODO PRUEBA,44227,CESADO,M,SOLTERO(A),34393,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,43544,TERMINO DE CONTRATO,44531,CESADO,F,SOLTERO(A),26990,E&R,NO APLICABLE,SECUNDARIA COMPLETA,MOROCOCHA,YAULI,DPTO JUNIN,1
AUXILIAR GENERAL,QUELLAVECO - ALIMENTACION,44615,RENUNCIA VOLUNTARIA,44663,CESADO,M,SOLTERO(A),35465,E&R,PROPIA,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
CHOFER,SOUTHERN PERU - TOQUEPALA,45017,RENUNCIA VOLUNTARIA,45474,CESADO,M,SOLTERO(A),34620,E&R,PROPIA,SECUNDARIA COMPLETA,CERRO COLORADO,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
TECNICO DE MEDIO AMBIENTE 2,MARSA - MEDIO AMBIENTE,42927,RENUNCIA VOLUNTARIA,44503,CESADO,M,SOLTERO(A),34323,E&R,NO APLICABLE,TÉCNICA COMPLETA,TAYABAMBA,PATAZ,DPTO LA LIBERTAD,SIN INFORMACION
AUXILIAR GENERAL,CERRO LINDO - LIMPIEZA,44083,RENUNCIA VOLUNTARIA,44166,CESADO,M,SOLTERO(A),29500,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
VAJILLERO,PLUSPETROL L 88 - CATERING C6,44555,PERIODO PRUEBA,44640,CESADO,M,SOLTERO(A),37545,E&R,ALQUILADA,SECUNDARIA COMPLETA,CALLAO,CALLAO,PROV. CONST. DEL CALLAO,SIN INFORMACION
TECNICO DE MANTENIMIENTO,MINSUR REFINERIA PISCO - ALIMENTACION,44081,RENUNCIA VOLUNTARIA,44348,CESADO,M,SOLTERO(A),34404,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
MOZO,MILPO EL PORVENIR - ALIMENTACION,44168,TERMINO DE CONTRATO,44256,CESADO,M,SOLTERO(A),36706,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,HUDBAY - HOTELERIA,45036,RENUNCIA VOLUNTARIA,45050,CESADO,M,SOLTERO(A),38062,E&R,PROPIA,SECUNDARIA COMPLETA,JACOBO HUNTER,AREQUIPA,DPTO AREQUIPA,3
MOZO,PAN AMERICAN SILVER HUARON - ALIMENTACION,44320,RENUNCIA VOLUNTARIA,44569,CESADO,F,SOLTERO(A),33818,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
TECNICO DE MANTENIMIENTO - SERVICIOS GENERALES,EDELNOR - MANTENIMIENTO,44763,RENUNCIA VOLUNTARIA,45330,CESADO,M,CONVIVIENTE,32408,E&R,PROPIA,SECUNDARIA COMPLETA,SAN JUAN DE LURIGANCHO,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE LIMPIEZA,VALE MISKI MAYO - HOTELERIA,43266,RENUNCIA VOLUNTARIA,45323,CESADO,F,SOLTERO(A),35044,E&R,NO APLICABLE,SECUNDARIA COMPLETA,CRISTO NOS VALGA,SECHURA,DPTO PIURA,SIN INFORMACION
CHOFER,VALE MISKI MAYO - ALIMENTACION,42574,TERMINO DE CONTRATO,43983,CESADO,M,CASADO(A),22061,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,PAMPA MELCHORITA - ALIMENTACION,44297,TERMINO DE CONTRATO,44986,CESADO,F,SOLTERO(A),36660,E&R,NO APLICABLE,TÉCNICA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AYUDANTE DE COCINA,OLEODUCTO - ALIMENTACION,43793,TERMINO DE CONTRATO,43983,CESADO,M,SOLTERO(A),36434,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,VALE MISKI MAYO - ALIMENTACION,44713,PERIODO PRUEBA,44743,CESADO,M,SOLTERO(A),35885,E&R,PROPIA,SECUNDARIA COMPLETA,SECHURA,SECHURA,DPTO PIURA,SIN INFORMACION
TECNICO DE MANTENIMIENTO - ALBAÑIL,VALE MISKI MAYO - MANTENIMIENTO,42574,TERMINO DE CONTRATO,44166,CESADO,M,CASADO(A),29355,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
LAVANDERO,QUELLAVECO - HOTELERIA,44154,TERMINO DE CONTRATO,44348,CESADO,F,SOLTERO(A),26751,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
ASISTENTE DE ALIMENTACION,PLUSPETROL L 88 - CATERING C6,44239,TERMINO DE CONTRATO,44713,CESADO,M,SOLTERO(A),32439,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,QUELLAVECO - HOTELERIA,44048,RENUNCIA VOLUNTARIA,44511,CESADO,F,SOLTERO(A),31520,E&R,NO APLICABLE,SECUNDARIA COMPLETA,MOQUEGUA,MARISCAL NIETO,DPTO MOQUEGUA,0
AUXILIAR GENERAL,CNPC PERU - LIMA,44613,RENUNCIA VOLUNTARIA,44824,CESADO,F,SOLTERO(A),30424,E&R,ALQUILADA,SECUNDARIA COMPLETA,VILLA MARIA DEL TRIUNFO,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,EL BROCAL,43846,TERMINO DE CONTRATO,44075,CESADO,F,SOLTERO(A),31593,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
ASISTENTE DE RECURSOS HUMANOS,MARSA - ADMINISTRACION,45099,RENUNCIA VOLUNTARIA,45352,CESADO,F,SOLTERO(A),36140,E&R,ALQUILADA,TITULADO,TRUJILLO,TRUJILLO,DPTO LA LIBERTAD,2
MOZO,QUELLAVECO - ALIMENTACION,44126,TERMINO DE CONTRATO,45474,CESADO,F,SOLTERO(A),28719,E&R,NO APLICABLE,TÉCNICA COMPLETA,QUEQUENA,AREQUIPA,DPTO AREQUIPA,3
MOZO,QUELLAVECO - ALIMENTACION,45201,TERMINO DE CONTRATO,45474,CESADO,F,SOLTERO(A),36976,E&R,FAMILIAR,TÉCNICA COMPLETA,ILO,ILO,DPTO MOQUEGUA,0
MOZO,HUDBAY - ALIMENTACION,45360,RENUNCIA VOLUNTARIA,45444,CESADO,M,SOLTERO(A),34544,E&R,ALQUILADA,SECUNDARIA COMPLETA,CUSCO,CUSCO,DPTO CUSCO,0
TECNICO DE MANTENIMIENTO - MULTIUSOS,HUDBAY - MANTENIMIENTO,45078,TERMINO DE CONTRATO,45476,CESADO,M,SOLTERO(A),33477,E&R,FAMILIAR,SECUNDARIA COMPLETA,JOSE L. BUSTAMANTE Y RIVERO,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
MOZO,QUELLAVECO - ALIMENTACION,44548,PERIODO PRUEBA,44621,CESADO,M,SOLTERO(A),37398,E&R,ALQUILADA,SECUNDARIA COMPLETA,ILO,ILO,DPTO MOQUEGUA,SIN INFORMACION
AUXILIAR GENERAL,QUELLAVECO - ALIMENTACION,44705,RENUNCIA VOLUNTARIA,44944,CESADO,M,CONVIVIENTE,34995,E&R,ALQUILADA,SECUNDARIA COMPLETA,SANTA ANA,LA CONVENCION,DPTO CUSCO,SIN INFORMACION
PANADERO,SAXON MALVINAS - SATELITES,43747,TERMINO DE CONTRATO,43983,CESADO,M,SOLTERO(A),31290,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,TUNSHURUCO - ALIMENTACION,43689,TERMINO DE CONTRATO,43983,CESADO,M,SOLTERO(A),33544,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,QUELLAVECO - ALIMENTACION,44015,RENUNCIA VOLUNTARIA,45328,CESADO,F,SOLTERO(A),36674,E&R,NO APLICABLE,TÉCNICA INCOMPLETA,MOQUEGUA,MARISCAL NIETO,DPTO MOQUEGUA,SIN INFORMACION
AYUDANTE DE PANADERIA,MINERA SAN GABRIEL - ALIMENTACION,44951,RENUNCIA VOLUNTARIA,45047,CESADO,M,DIVORCIADO(A),36181,E&R,ALQUILADA,TÉCNICA INCOMPLETA,CERRO COLORADO,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
TECNICO DE MANTENIMIENTO - FRIGORISTA,VALE MISKI MAYO - MANTENIMIENTO,44192,RENUNCIA VOLUNTARIA,44501,CESADO,M,SOLTERO(A),34975,E&R,NO APLICABLE,SECUNDARIA COMPLETA,TIQUILLACA,PUNO,DPTO PUNO,SIN INFORMACION
AUXILIAR GENERAL,QUELLAVECO - ALIMENTACION,44102,RENUNCIA VOLUNTARIA,44117,CESADO,M,SOLTERO(A),31174,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,HUDBAY - ALIMENTACION,45017,TERMINO DE CONTRATO,45352,CESADO,F,SOLTERO(A),36151,E&R,ALQUILADA,SECUNDARIA COMPLETA,ESPINAR,ESPINAR,DPTO CUSCO,SIN INFORMACION
SUPERVISOR DE HS&E,HOCHSCHILD - INMACULADA,44177,RENUNCIA VOLUNTARIA,44665,CESADO,M,SOLTERO(A),34113,E&R,NO APLICABLE,SECUNDARIA COMPLETA,JOSE L. BUSTAMANTE Y RIVERO,AREQUIPA,DPTO AREQUIPA,0
AUXILIAR DE LIMPIEZA,QUELLAVECO - HOTELERIA,44119,TERMINO DE CONTRATO,44774,CESADO,F,SOLTERO(A),30373,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LAMUD,LUYA,DPTO AMAZONAS,SIN INFORMACION
LAVANDERO,QUELLAVECO - HOTELERIA,43992,TERMINO DE CONTRATO,45474,CESADO,F,SOLTERO(A),29417,E&R,NO APLICABLE,SECUNDARIA COMPLETA,TORATA,MARISCAL NIETO,DPTO MOQUEGUA,1
AUXILIAR GENERAL,QUELLAVECO - ALIMENTACION,44256,RENUNCIA VOLUNTARIA,44269,CESADO,M,SOLTERO(A),36029,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,1
AUXILIAR GENERAL,HOCHSCHILD - PALLANCATA,44544,RENUNCIA VOLUNTARIA,44682,CESADO,M,SOLTERO(A),35027,E&R,PROPIA,SECUNDARIA COMPLETA,SAN SEBASTIAN,CUSCO,DPTO CUSCO,0
AYUDANTE DE COCINA,QUELLAVECO - ALIMENTACION,44681,TERMINO DE CONTRATO,44866,CESADO,F,SOLTERO(A),33702,E&R,PROPIA,TÉCNICA COMPLETA,MIRAFLORES,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
COCINERO,SAXON MALVINAS - SATELITES,44615,TERMINO DE CONTRATO,45383,CESADO,M,SOLTERO(A),34355,E&R,ALQUILADA,SECUNDARIA COMPLETA,CARABAYLLO,LIMA,DPTO LIMA,SIN INFORMACION
AYUDANTE DE COCINA,PPN LOTE 8 - ALIMENTACION,44301,TERMINO DE CONTRATO,44409,CESADO,M,SOLTERO(A),28355,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
SUPERVISOR DE CALIDAD,TUNSHURUCO - ALIMENTACION,44733,RENUNCIA VOLUNTARIA,44866,CESADO,F,SOLTERO(A),32184,E&R,ALQUILADA,MAESTRÍA INCOMPLETA,SAN MARTIN DE PORRES,LIMA,DPTO LIMA,SIN INFORMACION
COCINERO,REPSOL NUEVO LOTE 57 - ALIMENTACION,45190,RENUNCIA VOLUNTARIA,45236,CESADO,M,SOLTERO(A),37309,E&R,ALQUILADA,SECUNDARIA COMPLETA,VENTANILLA,CALLAO,PROV. CONST. DEL CALLAO,0
COCINERO,BARRICK LAG NORTE - SAUCO,43375,TERMINO DE CONTRATO,43861,CESADO,M,SOLTERO(A),33973,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE LIMPIEZA,CNPC PERU - PIURA,44138,PERIODO PRUEBA,44228,CESADO,F,SOLTERO(A),34199,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
RESPONSABLE DE RECREACION,PAMPA MELCHORITA - ALIMENTACION,44624,PERIODO PRUEBA,44682,CESADO,M,CONVIVIENTE,30812,E&R,ALQUILADA,SECUNDARIA COMPLETA,LURIGANCHO,LIMA,DPTO LIMA,0
MOZO,HOCHSCHILD - INMACULADA,43803,RENUNCIA VOLUNTARIA,44136,CESADO,M,SOLTERO(A),34970,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR GENERAL,QUELLAVECO - ALIMENTACION,45122,TERMINO DE CONTRATO,45474,CESADO,F,SOLTERO(A),32641,E&R,FAMILIAR,TITULADO,ILO,ILO,DPTO MOQUEGUA,SIN INFORMACION
MOZO,TUNSHURUCO - ALIMENTACION,44547,RENUNCIA VOLUNTARIA,44593,CESADO,F,SOLTERO(A),36274,E&R,PROPIA,ESPECIAL INCOMPLETA,SAN MIGUEL,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,MINSUR TIMPURE NUEVO - ALIMENTACION,44504,RENUNCIA VOLUNTARIA,44608,CESADO,F,SOLTERO(A),27836,E&R,PROPIA,SECUNDARIA COMPLETA,PACHIA,TACNA,DPTO TACNA,SIN INFORMACION
AUXILIAR GENERAL,HOCHSCHILD - PALLANCATA,44397,TERMINO DE CONTRATO,44927,CESADO,M,SOLTERO(A),34075,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE LIMPIEZA,TUNSHURUCO - HOTELERIA,42552,TERMINO DE CONTRATO,43983,CESADO,F,CASADO(A),19902,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
