PUESTO_TRABAJO,AREA,FECHA_INGRESO_PLANILLA,MOTIVO_SEPARACION,FECHA_CESE,SITUACION,COD_SEXO,ESTADO_CIVIL,FECHA_NACIMIENTO,SEGMENTO SIMPLE,TIPO_CASA,TIPO_INSTRUCCION,DISTRITO,PROVINCIA,DEPARTAMENTO,NÚMERO DE HIJOS
ASISTENTE DE CALIDAD,MARSA - ADMINISTRACION,45526,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),33180,E&R,FAMILIAR,UNIVERS. COMPLETA,LAREDO,TRUJILLO,DPTO LA LIBERTAD,0
SUPERVISOR DE MEDIO AMBIENTE,MINSUR SAN RAFAEL NUEVO - ALIMENTACION,45520,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),34039,E&R,FAMILIAR,UNIVERS. COMPLETA,AREQUIPA,AREQUIPA,DPTO AREQUIPA,0
AUXILIAR DE HOTELERIA,HUDBAY - ALIMENTACION,45527,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),37291,E&R,PROPIA,SECUNDARIA COMPLETA,PITUMARCA,CANCHIS,DPTO CUSCO,0
TECNICO DE MANTENIMIENTO - GASFITERO,TUNSHURUCO - MANTENIMIENTO,45534,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),33831,E&R,PROPIA,TITULADO,PAMPAS,TAYACAJA,DPTO HUANCAVELICA,2
TRAINEE,TUNSHURUCO - ALIMENTACION,45527,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),36548,E&R,FAMILIAR,GRADO DE BACHILLER,MOROCOCHA,YAULI,DPTO JUNIN,0
SUPERVISOR DE MANTENIMIENTO,CNPC PERU - PIURA,45525,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,34171,E&R,PROPIA,SECUNDARIA COMPLETA,EL ALTO,TALARA,DPTO PIURA,1
VAJILLERO,PAMPA MELCHORITA - ALIMENTACION,45527,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),36479,E&R,ALQUILADA,SECUNDARIA COMPLETA,SAN VICENTE DE CANETE,CANETE,DPTO LIMA,1
ASISTENTE DE COMEDOR,TUNSHURUCO - ALIMENTACION,45534,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),38567,E&R,PROPIA,SECUNDARIA COMPLETA,SAN JERONIMO DE TUNAN,HUANCAYO,DPTO JUNIN,0
AUXILIAR DE LIMPIEZA,VALE MISKI MAYO - HOTELERIA,45534,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),38736,E&R,FAMILIAR,SUPERIOR INCOMPLETA,CRISTO NOS VALGA,SECHURA,DPTO PIURA,0
ENFERMERO,HUDBAY - ALIMENTACION,45520,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),34695,E&R,PROPIA,SECUNDARIA COMPLETA,CERRO COLORADO,AREQUIPA,DPTO AREQUIPA,0
SUPERVISOR DE HOTELERIA,SAN GABRIEL NUEVO - HOTELERIA,45531,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),34874,E&R,PROPIA,SUPERIOR COMPLETA,PUNO,PUNO,DPTO PUNO,0
AUXILIAR DE LIMPIEZA,VALE MISKI MAYO - HOTELERIA,45534,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,34729,E&R,FAMILIAR,SECUNDARIA COMPLETA,SECHURA,SECHURA,DPTO PIURA,2
AUXILIAR GENERAL,COGA SIERRA - ALIMENTACION,45533,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),37542,E&R,ALQUILADA,SECUNDARIA COMPLETA,SAN MIGUEL,LA MAR,DPTO AYACUCHO,0
AYUDANTE DE COCINA,TUNSHURUCO - ALIMENTACION,45534,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),35536,E&R,NO APLICABLE,SECUNDARIA COMPLETA,EL TAMBO,HUANCAYO,DPTO JUNIN,0
AUXILIAR DE HOTELERIA,SAN GABRIEL NUEVO - HOTELERIA,45525,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),35652,E&R,PROPIA,SECUNDARIA COMPLETA,PAUCARPATA,AREQUIPA,DPTO AREQUIPA,2
AYUDANTE DE COCINA,PAN AMERICAN SILVER - ARGENTUM GOLF,45533,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35813,E&R,FAMILIAR,SUPERIOR COMPLETA,SAN MATEO,HUAROCHIRI,DPTO LIMA,0
TECNICO DE MANTENIMIENTO - ELECTROMECANICO,PAMPA MELCHORITA - MANTENIMIENTO,45520,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,35487,E&R,ALQUILADA,SECUNDARIA COMPLETA,SAN VICENTE DE CANETE,CANETE,DPTO LIMA,1
AUXILIAR GENERAL,MARSA - ALIMENTACION,45533,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,34568,E&R,FAMILIAR,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
MOZO,MINERA LA ZANJA - ALIMENTACION,45517,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),36711,E&R,PROPIA,SECUNDARIA COMPLETA,SAN MIGUEL,SAN MIGUEL,DPTO CAJAMARCA,1
AUXILIAR GENERAL,MARSA - ALIMENTACION,45533,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35750,E&R,FAMILIAR,SECUNDARIA COMPLETA,PARINAS,TALARA,DPTO PIURA,0
AUXILIAR DE LIMPIEZA,VALE MISKI MAYO - HOTELERIA,45534,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),38340,E&R,FAMILIAR,SECUNDARIA COMPLETA,SECHURA,SECHURA,DPTO PIURA,0
TECNICO DE MANTENIMIENTO - AIRE ACONDICIONADO (HVA,PLUSPETROL L 56 - MANTENIMIENTO,45526,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),36606,E&R,ALQUILADA,SECUNDARIA COMPLETA,SAN JUAN DE LURIGANCHO,LIMA,DPTO LIMA,0
AUXILIAR DE HOTELERIA,HUDBAY - ALIMENTACION,45527,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),36815,E&R,PROPIA,SECUNDARIA COMPLETA,SICUANI,CANCHIS,DPTO CUSCO,0
AUXILIAR GENERAL,SOUTHERN PERU - TOQUEPALA,45527,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),35046,E&R,FAMILIAR,SECUNDARIA COMPLETA,TACNA,TACNA,DPTO TACNA,0
MOZO,HOCHSCHILD - INMACULADA,45533,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),36460,E&R,FAMILIAR,SECUNDARIA COMPLETA,SARA SARA,PAUCAR DEL SARA SARA,DPTO AYACUCHO,0
AYUDANTE DE COCINA,TUNSHURUCO - ALIMENTACION,45520,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35674,E&R,ALQUILADA,TÉCNICA COMPLETA,INDEPENDENCIA,LIMA,DPTO LIMA,0
TECNICO DE MANTENIMIENTO - SERVICIOS GENERALES,PLUSPETROL L 56 - MANTENIMIENTO,45523,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,35149,E&R,ALQUILADA,SECUNDARIA COMPLETA,LOS OLIVOS,LIMA,DPTO LIMA,1
AUXILIAR DE RECURSOS HUMANOS,PLUSPETROL L 88 - RRHH,45524,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),34971,E&R,FAMILIAR,UNIVERS. INCOMPLETA,CALLAO,CALLAO,PROV. CONST. DEL CALLAO,0
VAJILLERO,VALE MISKI MAYO - ALIMENTACION,45527,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,35620,E&R,FAMILIAR,SECUNDARIA COMPLETA,PIURA,PIURA,DPTO PIURA,0
MOZO,QUELLAVECO - ALIMENTACION,44389,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),35745,E&R,NO APLICABLE,TÉCNICA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
SUPERVISOR DE COMEDOR,SAN GABRIEL NUEVO - ALIMENTACION,45455,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),30710,E&R,ALQUILADA,TÉCNICA COMPLETA,PAUCARPATA,AREQUIPA,DPTO AREQUIPA,1
AUXILIAR GENERAL,SAN GABRIEL NUEVO - ALIMENTACION,44672,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),34486,E&R,PROPIA,SECUNDARIA COMPLETA,SOCABAYA,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
MOZO,HOCHSCHILD - INMACULADA,45463,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),30477,E&R,PROPIA,SECUNDARIA COMPLETA,CERRO COLORADO,AREQUIPA,DPTO AREQUIPA,1
TECNICO DE MANTENIMIENTO,HUDBAY - ALIMENTACION,44742,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35015,E&R,ALQUILADA,SECUNDARIA COMPLETA,CHALLABAMBA,PAUCARTAMBO,DPTO CUSCO,0
AUXILIAR GENERAL,HOCHSCHILD - INMACULADA,45379,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),29092,E&R,ALQUILADA,SECUNDARIA COMPLETA,CERRO COLORADO,AREQUIPA,DPTO AREQUIPA,0
ASISTENTE DE QHS&E,SAN GABRIEL NUEVO - ALIMENTACION,45370,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35874,E&R,PROPIA,SUPERIOR COMPLETA,PUNO,PUNO,DPTO PUNO,0
AUXILIAR GENERAL,SAN GABRIEL NUEVO - ALIMENTACION,45427,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),34512,E&R,NO APLICABLE,SECUNDARIA COMPLETA,CERRO COLORADO,AREQUIPA,DPTO AREQUIPA,1
AUXILIAR DE MANTENIMIENTO,TUNSHURUCO - MANTENIMIENTO,45422,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),37926,E&R,ALQUILADA,TÉCNICA INCOMPLETA,SAN AGUSTIN,HUANCAYO,DPTO JUNIN,1
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,45338,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),30326,E&R,FAMILIAR,PRIMARIA INCOMPLETA,STA ROSA DE SACCO,YAULI,DPTO JUNIN,2
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,45338,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),31222,E&R,FAMILIAR,SECUND.  INCOMPLETA,MOROCOCHA,YAULI,DPTO JUNIN,5
MOZO,VALE MISKI MAYO - ALIMENTACION,43546,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),34218,E&R,NO APLICABLE,SECUNDARIA COMPLETA,CRISTO NOS VALGA,SECHURA,DPTO PIURA,SIN INFORMACION
COCINERO,HOCHSCHILD - INMACULADA,44081,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),34549,E&R,NO APLICABLE,TÉCNICA INCOMPLETA,PAUCARPATA,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
PANADERO PASTELERO,TANTAHUATAY COIMOLACHE - ALIMENTACION,42845,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),30697,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,LAMBAYEQUE,LAMBAYEQUE,DPTO LAMBAYEQUE,SIN INFORMACION
MAESTRO DE COCINA,TUNSHURUCO - ALIMENTACION,45471,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35445,E&R,FAMILIAR,TÉCNICA COMPLETA,STA MARIA DEL VALLE,HUANUCO,DPTO HUANUCO,0
ASISTENTE DE COMEDOR,MARSA - ALIMENTACION,40233,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),30167,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,CASA GRANDE,ASCOPE,DPTO LA LIBERTAD,SIN INFORMACION
AUXILIAR GENERAL,PLUSPETROL L 88 - HOTELERIA C4,45107,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),31347,E&R,ALQUILADA,SECUNDARIA COMPLETA,EL AGUSTINO,LIMA,DPTO LIMA,SIN INFORMACION
TECNICO DE MEDIO AMBIENTE 1,MARSA - MEDIO AMBIENTE,42602,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),32594,E&R,NO APLICABLE,TÉCNICA COMPLETA,PATAZ,PATAZ,DPTO LA LIBERTAD,SIN INFORMACION
TECNICO DE MEDIO AMBIENTE 3,MARSA - MEDIO AMBIENTE,44952,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),33430,E&R,ALQUILADA,UNIVERS. COMPLETA,TAURIJA,PATAZ,DPTO LA LIBERTAD,SIN INFORMACION
COCINERO,SAN GABRIEL NUEVO - ALIMENTACION,45329,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,30029,E&R,PROPIA,SECUNDARIA COMPLETA,CERRO COLORADO,AREQUIPA,AREQUIPA,2
ASISTENTE DE HS&E,TAMBOMAYO - ALIMENTACION,45323,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),38325,E&R,PROPIA,SECUNDARIA COMPLETA,CAYMA,AREQUIPA,AREQUIPA,0
AUXILIAR DE LIMPIEZA,SAN GABRIEL NUEVO - LIMPIEZA,45328,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,32150,E&R,PROPIA,SECUNDARIA COMPLETA,PUNO,PUNO,PUNO,1
COCINERO,RIO TINTO LA GRANJA - FOOD,39310,NO APLICABLE,0,ACTIVO,F,CONVIVIENTE,25648,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,45373,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),32959,E&R,ALQUILADA,SECUNDARIA COMPLETA,STA ROSA DE SACCO,YAULI,DPTO JUNIN,3
TECNICO DE MANTENIMIENTO - ELECTRICISTA,ENEL GYD - MANTENIMIENTO,45061,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),32769,E&R,ALQUILADA,SUPERIOR COMPLETA,CHINCHEROS,CHINCHEROS,DPTO APURIMAC,SIN INFORMACION
CHOFER,HUDBAY - ALIMENTACION,45406,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),32369,E&R,FAMILIAR,SECUNDARIA COMPLETA,CUSCO,ZARATE,DPTO CUSCO,2
COCINERO,HOCHSCHILD - INMACULADA,41821,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),31965,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,MARANGANI,CANCHIS,DPTO CUSCO,SIN INFORMACION
AYUDANTE DE PANADERIA,PLUSPETROL L 88 - CATERING C4,45509,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),37643,E&R,ALQUILADA,SECUNDARIA COMPLETA,SAN MARTIN DE PORRES,LIMA,DPTO LIMA,0
AYUDANTE DE COCINA,SAXON MALVINAS - SATELITES,45324,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),37475,E&R,PROPIA,SECUNDARIA COMPLETA,IQUITOS,MAYNAS,MAYNAS,0
AUXILIAR DE LIMPIEZA,VALE MISKI MAYO - HOTELERIA,45353,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),36439,E&R,PROPIA,SECUNDARIA COMPLETA,LA HUACA,PAITA,DPTO PIURA,0
ASISTENTE DE COMEDOR,MARSA - ALIMENTACION,43623,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),29728,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,PIURA,PIURA,DPTO PIURA,SIN INFORMACION
AUXILIAR GENERAL,PLUSPETROL L 88 - HOTELERIA C4,44545,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),32871,E&R,NO APLICABLE,TÉCNICA INCOMPLETA,CALLAO,CALLAO,PROV. CONST. DEL CALLAO,1
SUPERVISOR DE CALIDAD,EL BROCAL,40204,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),30497,E&R,NO APLICABLE,UNIVERS. COMPLETA,SANTA MARIA,HUAURA,DPTO LIMA,SIN INFORMACION
CHOFER,VALE MISKI MAYO - ALIMENTACION,43377,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),29802,E&R,NO APLICABLE,TÉCNICA INCOMPLETA,SECHURA,SECHURA,DPTO PIURA,2
MOZO,SAN GABRIEL NUEVO - ALIMENTACION,45314,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),33458,E&R,PROPIA,TÉCNICA COMPLETA,CHUCUITO,PUNO,DPTO PUNO,0
AUXILIAR GENERAL,SOUTHERN PERU - CUAJONE,44071,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),33968,E&R,NO APLICABLE,TÉCNICA COMPLETA,ILO,ILO,DPTO MOQUEGUA,SIN INFORMACION
INSTRUCTOR DE DEPORTE,PLUSPETROL L 88 - RECREACION,44827,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),32642,E&R,ALQUILADA,SECUNDARIA COMPLETA,EL AGUSTINO,LIMA,DPTO LIMA,SIN INFORMACION
AYUDANTE DE COCINA,TANTAHUATAY COIMOLACHE - ALIMENTACION,43702,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),30802,E&R,NO APLICABLE,SECUNDARIA COMPLETA,CAJAMARCA,CAJAMARCA,DPTO CAJAMARCA,SIN INFORMACION
AYUDANTE DE COCINA,PLUSPETROL L 88 - CATERING C4,45345,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35862,E&R,PROPIA,SECUNDARIA COMPLETA,ACARI,CARAVELI,DPTO AREQUIPA,0
AUXILIAR DE HOTELERIA,HOCHSCHILD - INMACULADA,41824,NO APLICABLE,0,ACTIVO,F,VIUDO(A),27108,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,ESPINAR,ESPINAR,DPTO CUSCO,1
NUTRICIONISTA,RIO TINTO LA GRANJA - FOOD,45141,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),34474,E&R,FAMILIAR,TITULADO,PACASMAYO,PACASMAYO,DPTO LA LIBERTAD,SIN INFORMACION
MAESTRO DE COCINA,PLUSPETROL L 88 - CATERING C4,45061,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,27334,E&R,ALQUILADA,SECUNDARIA COMPLETA,IQUITOS,MAYNAS,DPTO LORETO,0
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,45450,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),34166,E&R,NO APLICABLE,SECUNDARIA COMPLETA,JAUJA,JAUJA,DPTO JUNIN,1
AYUDANTE DE COCINA,VOTORANTIM METAIS - ALIMENTACION,45019,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),28474,E&R,ALQUILADA,SECUNDARIA COMPLETA,ATE,LIMA,DPTO LIMA,SIN INFORMACION
ANALISTA DE RECURSOS HUMANOS,TAMBOMAYO - ALIMENTACION,45512,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),35167,E&R,ALQUILADA,UNIVERS. COMPLETA,COMAS,LIMA,DPTO LIMA,0
COCINERO,MARSA - ALIMENTACION,40854,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),31261,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,VIRU,VIRU,DPTO LA LIBERTAD,SIN INFORMACION
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,45261,NO APLICABLE,0,ACTIVO,F,CASADO(A),34059,E&R,FAMILIAR,TÉCNICA COMPLETA,EL TAMBO,HUANCAYO,DPTO JUNIN,0
ASISTENTE DE COMEDOR,HUDBAY - ALIMENTACION,45044,NO APLICABLE,0,ACTIVO,F,SOLTERO(A),35398,E&R,ALQUILADA,SECUNDARIA COMPLETA,URCOS,QUISPICANCHIS,DPTO CUSCO,SIN INFORMACION
CHOFER,TUNSHURUCO - ALIMENTACION,44285,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),34863,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,EL MANTARO,JAUJA,DPTO JUNIN,SIN INFORMACION
CHOFER,HUDBAY - ALIMENTACION,45067,NO APLICABLE,0,ACTIVO,M,CONVIVIENTE,31619,E&R,ALQUILADA,SECUNDARIA COMPLETA,LAMAY,CALCA,DPTO CUSCO,SIN INFORMACION
MOZO,HOCHSCHILD - INMACULADA,45042,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),34937,E&R,PROPIA,SECUNDARIA COMPLETA,CALCA,CALCA,DPTO CUSCO,SIN INFORMACION
MOZO,ORCOPAMPA - ALIMENTACION,45421,NO APLICABLE,0,ACTIVO,M,SOLTERO(A),35325,E&R,PROPIA,SECUNDARIA COMPLETA,CHILCAYMARCA,CASTILLA,DPTO AREQUIPA,0
